teacher,classtitle,classcode,c,d,e,f,g,h
tch_20200602-123628_162,class_120424_1_tch_20200602-123628_162,class_20200602-123628_162,3YFQ-JZfE,50f34d4c-9c60-4f60-9738-66babed3b962,3829ae4f-3c96-4fdc-a2a4-621fd7178f62,0b1c0b10-bc0b-4067-8358-2f1f78d10f6d,e86663aa-154c-4be6-8e81-09b9902cd8be,5b10f3c7-5153-4516-a51f-23db7f4d03f6
tch_20200602-123628_165,class_120424_1_tch_20200602-123628_165,class_20200602-123628_165,78G9-x6VE,4d7945ce-546f-48dc-a536-804410e12d8a,1758060c-de29-4a07-8e30-7a6510ebbc95,e0782623-4bca-4bdf-ac0d-be45f6c327a7,3612c6fe-8502-4c8b-9954-3f9901aa5b96,3d101186-a606-4ad3-a34c-bb2cf3f7f572
tch_20200602-123628_163,class_120424_1_tch_20200602-123628_163,class_20200602-123628_163,4wYQ-zMRQ,0560ccd2-ab44-421e-9f26-0a8a7d02be42,fd7c278d-ea13-43e7-9167-9caed1f7e6f1,56df99a8-af41-4635-b01f-0b717e49e36b,3830fb24-9e4b-4843-89ca-55b8b887cef6,772c8301-a441-431c-9cad-33fdf6b0d93d
tch_20200602-123628_166,class_120424_1_tch_20200602-123628_166,class_20200602-123628_166,A9wB-q4y2,22a4f8ff-5b90-4598-9a67-e9e10f1d86d8,e55a398b-7324-449c-95f3-257f36146ec9,f4c91558-ac39-418b-9139-98d9500e02fc,e1fc473a-5a23-4817-849f-ea1e884b4145,75e2ef3e-5ad7-44bb-8077-0ad3f57b8e8e
tch_20200602-123628_164,class_120424_1_tch_20200602-123628_164,class_20200602-123628_164,rJBD-9P7D,1824ef50-86a1-4c96-9f02-6bb4e4ca2b51,e7edf747-33bd-4317-afaa-be7319b0c272,8455ed75-82ab-463f-b8d4-5b9e558f0879,b357ab44-417f-4902-8997-dec80c2b619d,ed1600f2-7993-433f-aa8c-8ce5388a8459
tch_20200602-123628_167,class_120424_1_tch_20200602-123628_167,class_20200602-123628_167,xPCi-9qat,3a2984cd-8238-4ace-9bfc-d62537da8457,0255eb3a-116a-44f7-83a8-e176959b2c8a,84b82cf0-d3c1-49de-862e-d830f23c3179,cd7f3389-6a3d-440e-a364-34571042f217,b65d3de7-02a2-4810-b968-adf3ed7f020d
tch_20200602-123628_168,class_120424_1_tch_20200602-123628_168,class_20200602-123628_168,rNWk-op8f,c7be6979-59a9-43fc-8142-7b47f6887247,6edd1e9c-e062-4423-88b5-ed4182a88601,7d685c73-8b71-4eaa-b69b-309a3ea02daa,0c80f6d2-f434-402b-b53f-5b3463dcaad4,d087f6a9-c9ae-4cb2-a70d-1bd51246153e
tch_20200602-123628_169,class_120424_1_tch_20200602-123628_169,class_20200602-123628_169,x6p7-YFac,80197a96-2d34-4242-a91b-6b4b6a235fbd,ecf0805e-6ba0-4037-9fb9-2beb8eefa027,256b4f96-138c-4764-9ef8-0088cb0096ce,74a4a435-8583-4bec-b753-4073f51e94fe,a88c5e0e-886c-4bbb-b4c4-75c0de45a2ad
tch_20200602-123628_170,class_120424_1_tch_20200602-123628_170,class_20200602-123628_170,4GvY-2cr9,683ebca8-fa02-4cf6-b962-98969af30532,10f4f47a-8f98-42f0-b550-28152896ca61,80408a2b-10e2-4362-b596-65f3ab036fc1,c047ada0-f487-4e96-aae3-d2b0d3c75676,7e326592-c3ef-4238-9351-2495fa335601
tch_20200602-123628_171,class_120424_1_tch_20200602-123628_171,class_20200602-123628_171,3Adp-4WX8,a8bdbd35-e278-4135-8deb-8de29b3c55f0,d7688717-bfba-4cda-94f1-6d7f1b8eb104,b85ec1b8-e321-4c2f-8f3b-52db1e5c3fc9,9b434b57-cb34-43cd-ae04-d5aef32ef842,4e4b3323-cbce-4919-af88-1e270ecadac4
tch_20200602-123628_172,class_120424_1_tch_20200602-123628_172,class_20200602-123628_172,N6n6-E9GD,cac6347c-1d1f-4a17-a44d-9376a2d9f91b,e7d40a54-fef1-4970-88b3-604c00446ba4,634ca713-2c5b-456a-a106-397dec40ec02,42dd9198-941b-499b-882c-d043a2210c12,883d540e-fd09-4791-bbd8-dd52a9fc7ed1
tch_20200602-123628_173,class_120424_1_tch_20200602-123628_173,class_20200602-123628_173,Yu8i-u9yE,9dee3be7-6d0a-40dc-80ef-c0f17a3a7ec6,3c868ef2-4602-4d53-8945-a2747e75da10,a1a68a9b-74fb-44e7-8738-6e78aa78bcc5,bf0712cc-57af-49a7-89cb-f9554a3799d8,eaf466db-0127-4786-bba9-6cc75317009d
tch_20200602-123628_174,class_120424_1_tch_20200602-123628_174,class_20200602-123628_174,W3MT-3727,6ab5e073-e662-4654-ba16-b62a03a6f894,67536fdb-a7f6-421f-a4b0-337a83ddb666,4288975e-c28a-4fbe-8bda-b6b2d747d5d6,59658c14-0c3e-4248-a454-8ea5355dcc19,3f9a4ba8-0d9a-4e11-a134-f13a4acbf2be
tch_20200602-123628_176,class_120424_1_tch_20200602-123628_176,class_20200602-123628_176,3VgN-u8V4,6cc892f4-72d0-4678-8abc-8966e0961698,b9d60922-47f9-479a-8270-40988aa2813a,8dd4f0de-94c4-450c-ae0f-6ccb2e33dfbf,d54d77d5-8ec1-4868-a818-04b2edaf3564,ab6b8134-ab61-4379-ac44-06ab96368b03
tch_20200602-123628_175,class_120424_1_tch_20200602-123628_175,class_20200602-123628_175,28VZ-Acmy,50fdc38a-e7a9-4aba-8392-f3b3abac62e4,a34f65f4-258b-442f-818a-4a32c65abde3,4bd6cf08-a628-4b91-baa4-19a02d2cfafc,990b5835-1636-436d-8ebc-bb8ac006164e,d5a59d3d-aaaf-46a6-b4e6-724e24cd47ff
tch_20200602-123628_178,class_120424_1_tch_20200602-123628_178,class_20200602-123628_178,h7q3-BK3h,da502f9d-5d5e-4ca1-a55d-46e7a184ec52,7bc57856-2c23-456c-b45c-f59d9890b4f3,182f0a52-ab28-40e4-b67c-7fa5a19326e6,1d872761-3b48-4d51-a40b-da7a0be10eff,3f3988f0-bc89-4906-8298-87799bc6925b
tch_20200602-123628_177,class_120424_1_tch_20200602-123628_177,class_20200602-123628_177,xfaY-VGrj,b6dac750-8138-43ac-82bc-c5c5273f3d94,956c7467-7775-416a-b99a-6fd80b28e5f5,f0b07b1d-5035-40f5-8dac-60cedf095d25,82ba7766-35f9-40d8-bb48-37bc436fb6c1,dd6bdbbf-b06d-41e5-b62b-d9662cf9284a
tch_20200602-123628_179,class_120424_1_tch_20200602-123628_179,class_20200602-123628_179,YMpP-mc3M,919c8a07-6ac6-4bb8-9ffd-ed5bf7129d81,fe4f4a18-b2e5-4155-8f4b-2d68d1d8f71c,a812ec5d-df5f-4252-b8c8-9a3c89aa02ff,189da7d4-aaba-4cf4-be13-4e10e0978c28,690a4a76-c645-46f3-8203-fcbe37a54a8b
tch_20200602-123628_181,class_120424_1_tch_20200602-123628_181,class_20200602-123628_181,3672-3A9n,2f2ae432-a04e-43c3-b148-a2247b9a827a,e4142dcd-55b9-4cb0-9b38-47f8449d8639,64c9846c-1c0e-461e-a0aa-737d0b74e700,39e75f3e-7780-460f-93d2-95a05b2e097e,5a60757f-cb6d-4d4e-9378-49571bc121b0
tch_20200602-123628_180,class_120424_1_tch_20200602-123628_180,class_20200602-123628_180,P9CW-LPwm,45745e1c-c56c-4d69-8926-696f3eaa5109,0c9d2bd3-102e-4608-8a8f-df81dfd1e609,e7c7627e-a64b-442e-8ea9-a2329932f44e,a0574048-dee8-47e2-ae6b-ec15f967fc5d,19c6037e-ff28-4c9a-ad86-167bcc26bafc
tch_20200602-123628_182,class_120424_1_tch_20200602-123628_182,class_20200602-123628_182,UHKW-2A9N,b9ed2596-6fa2-4ab2-b0af-f6745f72c5f4,0cd320e2-7da1-4367-b792-011ba7b34659,04b3461f-1ebd-4e1c-9dd8-0552dbc82544,4b2ced87-8399-42a2-a538-4a087a2b9be3,436e7a98-10a8-4414-8bab-fdcee8707550
tch_20200602-123628_183,class_120424_1_tch_20200602-123628_183,class_20200602-123628_183,7Dkt-DY7a,c48efb34-ddf2-4dec-98ad-fb52912f105f,43041e86-e154-4970-b3e9-0d26433c7675,21219485-8d44-45d0-92fb-eebc08802ef3,6940e919-0baf-4270-b4ac-f6e33973e140,2fba4aff-1545-4e52-bdeb-d7331fea7173
tch_20200602-123628_185,class_120424_1_tch_20200602-123628_185,class_20200602-123628_185,et8K-482h,b9bff062-6e76-4a5b-ace1-e23d5c9274d9,bbbfc301-b072-4379-8107-c34f30abeded,984976cd-c1b1-4864-b59f-a1a415db0949,0ce559a4-5d07-4afa-81b1-5a8e06735385,d59ae090-9358-43bc-9ed9-2ff1e10b6435
tch_20200602-123628_184,class_120424_1_tch_20200602-123628_184,class_20200602-123628_184,AsQj-Rz9V,a073609a-cafe-41c2-9ad1-2fc72341da79,f8ca8762-82a7-4010-8140-5138753a6285,91b5b021-3044-4998-bcdb-684c3cacf58f,2c9f9d75-33bc-418e-ac65-f746c9af1772,8e242265-3502-44cf-a65f-538ee5547743
tch_20200602-123628_186,class_120424_1_tch_20200602-123628_186,class_20200602-123628_186,7Upz-e238,bb5b69f2-3e44-4077-b2aa-e101d9dc5c78,7896a214-07c8-47e8-86fc-fbc1b4007c6d,cb8b1023-f5dd-48a2-9cc6-b85ccba82272,72440112-e063-452d-b4ea-bff2a8f97ea1,9768b592-f2d1-4f8d-adb1-ec4d20e00d46
tch_20200602-123628_187,class_120424_1_tch_20200602-123628_187,class_20200602-123628_187,xJR3-A47B,d485eeaa-6009-4a1e-b44d-746e6132c0c7,ca1a0761-a8fe-4933-a1f6-12db1fedff56,79d7d35f-7510-4168-aafa-31b30b652e58,f290b1ff-1045-42ba-8b43-8fa08d8f5898,c446eee4-d02b-4653-9816-ba5dede9950c
tch_20200602-123628_188,class_120424_1_tch_20200602-123628_188,class_20200602-123628_188,eDv7-z2UM,34c7abae-4b96-49f7-9169-42bbea63cf3d,e218c581-ae92-481c-b05f-58174d7adfff,95bdecae-3d68-43c6-834f-cea9360ebc5a,d09a2643-f7e5-4f4b-9c52-46fadaf72677,c6258d8b-5b02-4c3c-a485-6720edf6d02a
tch_20200602-123628_191,class_120424_1_tch_20200602-123628_191,class_20200602-123628_191,q27r-2uWL,5c77f141-105f-43a6-9125-5183e13c59e4,2070fbcb-efe4-45a4-9ea1-005f6fe24b78,1184cc7e-fc6a-4db2-b4b1-59da06db3b76,41e3fe78-20c5-41c0-b270-1f8df84f73af,38b1bcf6-4293-4068-bd74-7debfc3fec70
tch_20200602-123628_190,class_120424_1_tch_20200602-123628_190,class_20200602-123628_190,Mnxi-uDbX,6594f1bd-84b4-4f1c-8373-628b5b11bed9,ede64b18-2fbd-42d5-90a0-113af4df2d53,a9f97f9a-72ba-4c30-bf01-03e8fc486243,974583c7-c006-4062-9a01-a6803f162b35,a57a867c-10ad-439e-a9f7-2d6bac95760d
tch_20200602-123628_189,class_120424_1_tch_20200602-123628_189,class_20200602-123628_189,Q47s-wt4Y,df5d9cf3-1f87-4dde-b348-e357fc608c92,1bfb97f2-ab05-49d8-b362-4b24379ea8c0,312be871-67e6-4bf5-ae6b-5943417a6cbe,9b09badb-731c-4fc1-82be-348ebf3f0e9e,5d774e03-a7b3-4b4d-bc61-431741ee22a8
tch_20200602-123628_193,class_120424_1_tch_20200602-123628_193,class_20200602-123628_193,JVRz-9327,ad03f413-d1ab-4327-a273-ae9baa8afb17,5a5742a5-e701-4d23-84aa-17d5d3102902,5ecad27a-0e43-4d28-a1cd-262b46e2b14b,661f7d87-1b97-4de5-a4a6-a02f6db5e27d,7068b7b9-75b6-4ea1-9b35-d7a0e0bae13b
tch_20200602-123628_192,class_120424_1_tch_20200602-123628_192,class_20200602-123628_192,2RXQ-37nP,f05e3aaf-2891-4b17-b24a-2d98cdbce506,e4399645-acc2-437a-89bc-6cef270cd3cd,4d2ee615-e8cb-4ba7-82c7-30b9d95b1383,46cde2d3-65ae-4385-bb35-f86a82dffb71,5959780d-5239-4a50-850f-e99137e40352
tch_20200602-123628_194,class_120424_1_tch_20200602-123628_194,class_20200602-123628_194,2KG4-VrZQ,d3899aae-7abc-4690-b356-5b94c731423f,d32a8fbb-d3a2-4340-b133-51ee52ef9034,c94a3c69-1b9e-4b8a-9638-ca108c7641b1,3bc2a4e5-3557-4c45-b144-1673a7216de2,8f52a40f-d6fb-4cf6-9323-fb406a24095a
tch_20200602-123628_195,class_120424_1_tch_20200602-123628_195,class_20200602-123628_195,iR72-yGb8,68a3bb7e-1fe0-4eab-8553-3414044ef506,543b1338-3c60-40d1-b3c7-c7fe7a64315f,ddfcab1a-3fe2-46c1-a5da-ff363de1e08c,8b850e0f-ea60-4c68-a697-273adb8d3bb8,793c7c46-0220-4371-a30a-8821fde01442
tch_20200602-123628_196,class_120424_1_tch_20200602-123628_196,class_20200602-123628_196,QZ4d-7kiP,796dde0d-66a3-4753-8dcd-cab8e97a5a4c,b58b3f0f-2f18-4bf7-8a90-da04416655e0,8fc586c5-2370-4d21-854a-3544bc191112,6d11d0b2-787e-48b0-ade0-beaee8b9f491,0d02f22e-3be0-4b0e-b6d0-adbba058fe09
tch_20200602-123628_197,class_120424_1_tch_20200602-123628_197,class_20200602-123628_197,8VzF-2vtR,89617f46-7ceb-4525-b36a-52713a5d6129,91ddb05a-b22a-4661-bc62-3deabd6c1b44,850faa60-64a1-4012-9941-3ec7ed329606,67167bf8-f982-40e3-bd21-0c4d12745f6b,5d86f3f2-8d9c-4ebd-9192-01ec23ec7000
tch_20200602-123628_198,class_120424_1_tch_20200602-123628_198,class_20200602-123628_198,R96e-2iUH,ef6cd73d-3518-43ad-b0ef-7f3649336a89,1ae4b170-55e4-479f-8bb3-68fae54b929c,54444d0f-4da6-4e28-b396-ade91a860395,41011fa7-2ccb-439d-8619-e949c9a819f3,fcaa2095-f047-4797-acb2-752f51dd0b7b
tch_20200602-123628_200,class_120424_1_tch_20200602-123628_200,class_20200602-123628_200,UFB6-28pq,e89fc00c-362f-4bf3-8cb5-a58f5dee0b5a,82d82aeb-6158-4b17-b6e7-7bfa7f6eacd5,8ac1dee6-009b-4f1e-a0bd-c18ab0396d89,d0d16038-1fe6-42fd-860b-707459540b6f,c17a0aac-6fc9-410f-b25c-c1d1e390972a
tch_20200602-123628_199,class_120424_1_tch_20200602-123628_199,class_20200602-123628_199,64vy-97e4,3a37faa5-219e-43a1-a774-4127c3d6244d,43b82188-5572-43ce-b680-e190f0a9f9c1,174693b9-0811-431b-bfdd-1a3c8fa83582,6f0d769d-02d4-4de7-b994-f2b5ab88d84b,ea6f2883-0113-4d60-bd11-be2dfbfad35e
tch_20240221-110728_1,class_120424_1-110728_1,w6TY-9YLY,,,,,,
tch_20240221-110728_2,class_120424_1-110728_2,72H8-6EPa,,,,,,
tch_20240221-110728_3,class_120424_1-110728_3,UdVj-Qdzp,,,,,,
tch_20240221-110728_4,class_120424_1-110728_4,zYNW-MWo4,,,,,,
tch_20240221-110728_5,class_120424_1-110728_5,JQdh-bHwi,,,,,,
tch_20240221-110728_6,class_120424_1-110728_6,8bJ4-w9tq,,,,,,
tch_20240221-110728_7,class_120424_1-110728_7,iNFR-UMk9,,,,,,
tch_20240221-110728_8,class_120424_1-110728_8,UF9F-s9qm,,,,,,
tch_20240221-110728_9,class_120424_1-110728_9,zQho-6QW2,,,,,,
tch_20240221-110728_10,class_120424_1-110728_10,qQgA-x7Me,,,,,,
tch_20240221-110728_11,class_120424_1-110728_11,oRQJ-68c4,,,,,,
tch_20240221-110728_12,class_120424_1-110728_12,CnH8-9jqt,,,,,,
tch_20240221-110728_13,class_120424_1-110728_13,bDmK-CNRP,,,,,,
tch_20240221-110728_14,class_120424_1-110728_14,i7gm-VDdo,,,,,,
tch_20240221-110728_15,class_120424_1-110728_15,F3cm-G9Fp,,,,,,
tch_20240221-110728_16,class_120424_1-110728_16,qzgv-KC3y,,,,,,
tch_20240221-110728_17,class_120424_1-110728_17,B73i-pTWt,,,,,,
tch_20240221-110728_18,class_120424_1-110728_18,2p26-u9Vb,,,,,,
tch_20240221-110728_19,class_120424_1-110728_19,QtDs-97QC,,,,,,
tch_20240221-110728_20,class_120424_1-110728_20,KFRX-ah3x,,,,,,
tch_20240221-110728_21,class_120424_1-110728_21,Ust7-4ncP,,,,,,
tch_20240221-110728_22,class_120424_1-110728_22,u79z-9P2L,,,,,,
tch_20240221-110728_23,class_120424_1-110728_23,9243-7hmG,,,,,,
tch_20240221-110728_24,class_120424_1-110728_24,pBGi-Xqev,,,,,,
tch_20240221-110728_25,class_120424_1-110728_25,Z3Um-4U72,,,,,,
tch_20240221-110728_26,class_120424_1-110728_26,z4FP-2G2u,,,,,,
tch_20240221-110728_27,class_120424_1-110728_27,W27h-436D,,,,,,
tch_20240221-110728_28,class_120424_1-110728_28,9iKB-KV86,,,,,,
tch_20240221-110728_29,class_120424_1-110728_29,7BXv-Q4Jo,,,,,,
tch_20240221-110728_30,class_120424_1-110728_30,KgXw-f4v3,,,,,,
tch_20240221-110728_31,class_120424_1-110728_31,KH6A-dtAc,,,,,,
tch_20240221-110728_32,class_120424_1-110728_32,34F6-3afT,,,,,,
tch_20240221-110728_33,class_120424_1-110728_33,2A6t-B8mR,,,,,,
tch_20240221-110728_34,class_120424_1-110728_34,4EA6-PwJk,,,,,,
tch_20240221-110728_35,class_120424_1-110728_35,B7yC-3qPZ,,,,,,
tch_20240221-110728_36,class_120424_1-110728_36,Cg9C-jb8x,,,,,,
tch_20240221-110728_37,class_120424_1-110728_37,cpEL-8Nzw,,,,,,
tch_20240221-110728_38,class_120424_1-110728_38,jRaH-Fhk3,,,,,,
tch_20240221-110728_39,class_120424_1-110728_39,7ckZ-2Kyt,,,,,,
tch_20240221-110728_40,class_120424_1-110728_40,6L2W-R6P8,,,,,,
tch_20240221-110728_41,class_120424_1-110728_41,XK74-2Np2,,,,,,
tch_20240221-110728_42,class_120424_1-110728_42,4zEf-m278,,,,,,
tch_20240221-110728_43,class_120424_1-110728_43,2Q29-73Rc,,,,,,
tch_20240221-110728_44,class_120424_1-110728_44,KDmT-m24Y,,,,,,
tch_20240221-110728_45,class_120424_1-110728_45,BCfr-h6iz,,,,,,
tch_20240221-110728_46,class_120424_1-110728_46,473s-9Muq,,,,,,
tch_20240221-110728_47,class_120424_1-110728_47,Gcv7-kJq7,,,,,,
tch_20240221-110728_48,class_120424_1-110728_48,97JA-aiXH,,,,,,
tch_20240221-110728_49,class_120424_1-110728_49,D3Pc-bw7V,,,,,,
tch_20240221-110728_50,class_120424_1-110728_50,v3vu-Tmdc,,,,,,
tch_20240221-110728_51,class_120424_1-110728_51,Y67e-TW6b,,,,,,
tch_20240221-110728_52,class_120424_1-110728_52,ei2v-8Qvd,,,,,,
tch_20240221-110728_53,class_120424_1-110728_53,og4A-2XYP,,,,,,
tch_20240221-110728_54,class_120424_1-110728_54,Z67h-6L89,,,,,,
tch_20240221-110728_55,class_120424_1-110728_55,8X8i-ubX8,,,,,,
tch_20240221-110728_56,class_120424_1-110728_56,d6m6-He8V,,,,,,
tch_20240221-110728_57,class_120424_1-110728_57,86gJ-9bB2,,,,,,
tch_20240221-110728_58,class_120424_1-110728_58,Gg64-g3ec,,,,,,
tch_20240221-110728_59,class_120424_1-110728_59,vTKo-g9NC,,,,,,
tch_20240221-110728_60,class_120424_1-110728_60,fL6v-PEiJ,,,,,,
tch_20240221-110728_61,class_120424_1-110728_61,23RN-a3Pw,,,,,,
tch_20240221-110728_62,class_120424_1-110728_62,CYou-7baY,,,,,,
tch_20240221-110728_63,class_120424_1-110728_63,Eyhz-G6N6,,,,,,
tch_20240221-110728_64,class_120424_1-110728_64,cn36-Q48y,,,,,,
tch_20240221-110728_65,class_120424_1-110728_65,4vdw-UD7C,,,,,,
tch_20240221-110728_66,class_120424_1-110728_66,7Ftr-o3R9,,,,,,
tch_20240221-110728_67,class_120424_1-110728_67,VD98-zG4Q,,,,,,
tch_20240221-110728_68,class_120424_1-110728_68,gqBP-U8wX,,,,,,
tch_20240221-110728_69,class_120424_1-110728_69,KHgn-kmbU,,,,,,
tch_20240221-110728_70,class_120424_1-110728_70,oc83-YMKm,,,,,,
tch_20240221-110728_71,class_120424_1-110728_71,zJTG-K2of,,,,,,
tch_20240221-110728_72,class_120424_1-110728_72,9EMu-2z3R,,,,,,
tch_20240221-110728_73,class_120424_1-110728_73,MH2L-tk4V,,,,,,
tch_20240221-110728_74,class_120424_1-110728_74,zeiF-PzKp,,,,,,
tch_20240221-110728_75,class_120424_1-110728_75,qbYZ-3WxX,,,,,,
tch_20240221-110728_76,class_120424_1-110728_76,P3dy-RoWN,,,,,,
tch_20240221-110728_77,class_120424_1-110728_77,kgCf-C4b8,,,,,,
tch_20240221-110728_78,class_120424_1-110728_78,37r9-W3HC,,,,,,
tch_20240221-110728_79,class_120424_1-110728_79,hAjM-96U4,,,,,,
tch_20240221-110728_80,class_120424_1-110728_80,87cH-shvi,,,,,,
tch_20240221-110728_81,class_120424_1-110728_81,476a-QsCB,,,,,,
tch_20240221-110728_82,class_120424_1-110728_82,AT64-KXa9,,,,,,
tch_20240221-110728_83,class_120424_1-110728_83,tkA3-Kt97,,,,,,
tch_20240221-110728_84,class_120424_1-110728_84,VEFN-x9w4,,,,,,
tch_20240221-110728_85,class_120424_1-110728_85,Mbka-pwEp,,,,,,
tch_20240221-110728_86,class_120424_1-110728_86,A3Yb-wnsU,,,,,,
tch_20240221-110728_87,class_120424_1-110728_87,QUFm-UsB4,,,,,,
tch_20240221-110728_88,class_120424_1-110728_88,9ZCU-9uRt,,,,,,
tch_20240221-110728_89,class_120424_1-110728_89,FxHL-4dFE,,,,,,
tch_20240221-110728_90,class_120424_1-110728_90,jK84-XpRj,,,,,,
tch_20240221-110728_91,class_120424_1-110728_91,3V9A-7AD9,,,,,,
tch_20240221-110728_92,class_120424_1-110728_92,7ZRq-ZM2V,,,,,,
tch_20240221-110728_93,class_120424_1-110728_93,v69a-fT9J,,,,,,
tch_20240221-110728_94,class_120424_1-110728_94,VJ8L-hqYV,,,,,,
tch_20240221-110728_95,class_120424_1-110728_95,PAZc-n4ys,,,,,,
tch_20240221-110728_96,class_120424_1-110728_96,PpQ4-Z62B,,,,,,
tch_20240221-110728_97,class_120424_1-110728_97,kYVp-49ok,,,,,,
tch_20240221-110728_98,class_120424_1-110728_98,L3LF-7BwX,,,,,,
tch_20240221-110728_99,class_120424_1-110728_99,U9mi-8E38,,,,,,
tch_20240221-110728_100,class_120424_1-110728_100,QyG8-Gu9c,,,,,,
tch_20240221-110728_101,class_120424_1-110728_101,42hi-wcin,,,,,,
tch_20240221-110728_102,class_120424_1-110728_102,EqXk-37wm,,,,,,
tch_20240221-110728_103,class_120424_1-110728_103,Xz9v-xmyu,,,,,,
tch_20240221-110728_104,class_120424_1-110728_104,9Cm8-3iH9,,,,,,
tch_20240221-110728_105,class_120424_1-110728_105,BfjJ-pzdA,,,,,,
tch_20240221-110728_106,class_120424_1-110728_106,C3p2-7qxY,,,,,,
tch_20240221-110728_107,class_120424_1-110728_107,9H6Y-ydJ2,,,,,,
tch_20240221-110728_108,class_120424_1-110728_108,s98V-PUB6,,,,,,
tch_20240221-110728_109,class_120424_1-110728_109,DB3q-j6Us,,,,,,
tch_20240221-110728_110,class_120424_1-110728_110,8qL4-fCZ6,,,,,,
tch_20240221-110728_111,class_120424_1-110728_111,36qN-7Z4U,,,,,,
tch_20240221-110728_112,class_120424_1-110728_112,kqtu-Rrep,,,,,,
tch_20240221-110728_113,class_120424_1-110728_113,24V2-QDc9,,,,,,
tch_20240221-110728_114,class_120424_1-110728_114,zK3i-gWDG,,,,,,
tch_20240221-110728_115,class_120424_1-110728_115,cEBh-gWgD,,,,,,
tch_20240221-110728_116,class_120424_1-110728_116,UMu6-4tgV,,,,,,
tch_20240221-110728_117,class_120424_1-110728_117,EFpT-n4BK,,,,,,
tch_20240221-110728_118,class_120424_1-110728_118,BTD7-Yhgr,,,,,,
tch_20240221-110728_119,class_120424_1-110728_119,w8RT-7g92,,,,,,
tch_20240221-110728_120,class_120424_1-110728_120,RELw-sH8G,,,,,,
tch_20240221-110728_121,class_120424_1-110728_121,zEiU-2sUV,,,,,,
tch_20240221-110728_122,class_120424_1-110728_122,jA8c-vaWE,,,,,,
tch_20240221-110728_123,class_120424_1-110728_123,L4uW-3Ln4,,,,,,
tch_20240221-110728_124,class_120424_1-110728_124,Y3if-8rUN,,,,,,
tch_20240221-110728_125,class_120424_1-110728_125,Vu2E-qgof,,,,,,
tch_20240221-110728_126,class_120424_1-110728_126,4g9f-2Pcw,,,,,,
tch_20240221-110728_127,class_120424_1-110728_127,3gaZ-dm38,,,,,,
tch_20240221-110728_128,class_120424_1-110728_128,baTM-84hJ,,,,,,
tch_20240221-110728_129,class_120424_1-110728_129,9U9g-R768,,,,,,
tch_20240221-110728_130,class_120424_1-110728_130,PQor-9aTt,,,,,,
tch_20240221-110728_131,class_120424_1-110728_131,Zpfq-cTYT,,,,,,
tch_20240221-110728_132,class_120424_1-110728_132,xpbm-wAiW,,,,,,
tch_20240221-110728_133,class_120424_1-110728_133,AouG-oT3m,,,,,,
tch_20240221-110728_134,class_120424_1-110728_134,472P-ZTVj,,,,,,
tch_20240221-110728_135,class_120424_1-110728_135,rd2m-FHr3,,,,,,
tch_20240221-110728_136,class_120424_1-110728_136,sc7H-4J39,,,,,,
tch_20240221-110728_137,class_120424_1-110728_137,jYAW-Xh9N,,,,,,
tch_20240221-110728_138,class_120424_1-110728_138,3tQn-Ev6a,,,,,,
tch_20240221-110728_139,class_120424_1-110728_139,qi4Z-ivg6,,,,,,
tch_20240221-110728_140,class_120424_1-110728_140,tFWA-gG9t,,,,,,
tch_20240221-110728_141,class_120424_1-110728_141,862f-2Q9s,,,,,,
tch_20240221-110728_142,class_120424_1-110728_142,6GKT-t629,,,,,,
tch_20240221-110728_143,class_120424_1-110728_143,2Lq3-FDT8,,,,,,
tch_20240221-110728_144,class_120424_1-110728_144,q6Lu-QCtx,,,,,,
tch_20240221-110728_145,class_120424_1-110728_145,vf7K-LDx9,,,,,,
tch_20240221-110728_146,class_120424_1-110728_146,G9HZ-Tv3g,,,,,,
tch_20240221-110728_147,class_120424_1-110728_147,p6uj-3JB6,,,,,,
tch_20240221-110728_148,class_120424_1-110728_148,q8g7-JgFd,,,,,,
tch_20240221-110728_149,class_120424_1-110728_149,ruzi-saJr,,,,,,
tch_20240221-110728_150,class_120424_1-110728_150,8YUf-A3V8,,,,,,
tch_20240221-110728_151,class_120424_1-110728_151,sGof-V4Hk,,,,,,
tch_20240221-110728_152,class_120424_1-110728_152,9M4z-Jq8f,,,,,,
tch_20240221-110728_153,class_120424_1-110728_153,3dUv-3mAa,,,,,,
tch_20240221-110728_154,class_120424_1-110728_154,q3pv-gVrx,,,,,,
tch_20240221-110728_155,class_120424_1-110728_155,X437-V3ez,,,,,,
tch_20240221-110728_156,class_120424_1-110728_156,hAx6-QqdK,,,,,,
tch_20240221-110728_157,class_120424_1-110728_157,mN87-9Y9a,,,,,,
tch_20240221-110728_158,class_120424_1-110728_158,T8uH-FfXz,,,,,,
tch_20240221-110728_159,class_120424_1-110728_159,zkAy-gzfZ,,,,,,
tch_20240221-110728_160,class_120424_1-110728_160,7jA9-TtxJ,,,,,,
tch_20240221-110728_161,class_120424_1-110728_161,MYvE-78YM,,,,,,
tch_20240221-110728_162,class_120424_1-110728_162,GFfp-D6JL,,,,,,
tch_20240221-110728_163,class_120424_1-110728_163,A8oY-pe7w,,,,,,
tch_20240221-110728_164,class_120424_1-110728_164,Cxve-iQ4M,,,,,,
tch_20240221-110728_165,class_120424_1-110728_165,QG4T-cGiu,,,,,,
tch_20240221-110728_166,class_120424_1-110728_166,2GbE-UKsX,,,,,,
