teacher,classtitle,classcode,c,d,e,f,g,h
tch_20200602-123628_167,class_250124_tch_20200602-123628_167,class_20200602-123628_167,xPCi-9qat,3a2984cd-8238-4ace-9bfc-d62537da8457,0255eb3a-116a-44f7-83a8-e176959b2c8a,84b82cf0-d3c1-49de-862e-d830f23c3179,cd7f3389-6a3d-440e-a364-34571042f217,b65d3de7-02a2-4810-b968-adf3ed7f020d
tch_20200602-123628_168,class_250124_tch_20200602-123628_168,class_20200602-123628_168,rNWk-op8f,c7be6979-59a9-43fc-8142-7b47f6887247,6edd1e9c-e062-4423-88b5-ed4182a88601,7d685c73-8b71-4eaa-b69b-309a3ea02daa,0c80f6d2-f434-402b-b53f-5b3463dcaad4,d087f6a9-c9ae-4cb2-a70d-1bd51246153e
tch_20200602-123628_169,class_250124_tch_20200602-123628_169,class_20200602-123628_169,x6p7-YFac,80197a96-2d34-4242-a91b-6b4b6a235fbd,ecf0805e-6ba0-4037-9fb9-2beb8eefa027,256b4f96-138c-4764-9ef8-0088cb0096ce,74a4a435-8583-4bec-b753-4073f51e94fe,a88c5e0e-886c-4bbb-b4c4-75c0de45a2ad
tch_20200602-123628_170,class_250124_tch_20200602-123628_170,class_20200602-123628_170,4GvY-2cr9,683ebca8-fa02-4cf6-b962-98969af30532,10f4f47a-8f98-42f0-b550-28152896ca61,80408a2b-10e2-4362-b596-65f3ab036fc1,c047ada0-f487-4e96-aae3-d2b0d3c75676,7e326592-c3ef-4238-9351-2495fa335601
tch_20200602-123628_171,class_250124_tch_20200602-123628_171,class_20200602-123628_171,3Adp-4WX8,a8bdbd35-e278-4135-8deb-8de29b3c55f0,d7688717-bfba-4cda-94f1-6d7f1b8eb104,b85ec1b8-e321-4c2f-8f3b-52db1e5c3fc9,9b434b57-cb34-43cd-ae04-d5aef32ef842,4e4b3323-cbce-4919-af88-1e270ecadac4
tch_20200602-123628_172,class_250124_tch_20200602-123628_172,class_20200602-123628_172,N6n6-E9GD,cac6347c-1d1f-4a17-a44d-9376a2d9f91b,e7d40a54-fef1-4970-88b3-604c00446ba4,634ca713-2c5b-456a-a106-397dec40ec02,42dd9198-941b-499b-882c-d043a2210c12,883d540e-fd09-4791-bbd8-dd52a9fc7ed1
tch_20200602-123628_173,class_250124_tch_20200602-123628_173,class_20200602-123628_173,Yu8i-u9yE,9dee3be7-6d0a-40dc-80ef-c0f17a3a7ec6,3c868ef2-4602-4d53-8945-a2747e75da10,a1a68a9b-74fb-44e7-8738-6e78aa78bcc5,bf0712cc-57af-49a7-89cb-f9554a3799d8,eaf466db-0127-4786-bba9-6cc75317009d
tch_20200602-123628_174,class_250124_tch_20200602-123628_174,class_20200602-123628_174,W3MT-3727,6ab5e073-e662-4654-ba16-b62a03a6f894,67536fdb-a7f6-421f-a4b0-337a83ddb666,4288975e-c28a-4fbe-8bda-b6b2d747d5d6,59658c14-0c3e-4248-a454-8ea5355dcc19,3f9a4ba8-0d9a-4e11-a134-f13a4acbf2be
tch_20200602-123628_176,class_250124_tch_20200602-123628_176,class_20200602-123628_176,3VgN-u8V4,6cc892f4-72d0-4678-8abc-8966e0961698,b9d60922-47f9-479a-8270-40988aa2813a,8dd4f0de-94c4-450c-ae0f-6ccb2e33dfbf,d54d77d5-8ec1-4868-a818-04b2edaf3564,ab6b8134-ab61-4379-ac44-06ab96368b03
tch_20200602-123628_175,class_250124_tch_20200602-123628_175,class_20200602-123628_175,28VZ-Acmy,50fdc38a-e7a9-4aba-8392-f3b3abac62e4,a34f65f4-258b-442f-818a-4a32c65abde3,4bd6cf08-a628-4b91-baa4-19a02d2cfafc,990b5835-1636-436d-8ebc-bb8ac006164e,d5a59d3d-aaaf-46a6-b4e6-724e24cd47ff
tch_20200602-123628_178,class_250124_tch_20200602-123628_178,class_20200602-123628_178,h7q3-BK3h,da502f9d-5d5e-4ca1-a55d-46e7a184ec52,7bc57856-2c23-456c-b45c-f59d9890b4f3,182f0a52-ab28-40e4-b67c-7fa5a19326e6,1d872761-3b48-4d51-a40b-da7a0be10eff,3f3988f0-bc89-4906-8298-87799bc6925b
tch_20200602-123628_177,class_250124_tch_20200602-123628_177,class_20200602-123628_177,xfaY-VGrj,b6dac750-8138-43ac-82bc-c5c5273f3d94,956c7467-7775-416a-b99a-6fd80b28e5f5,f0b07b1d-5035-40f5-8dac-60cedf095d25,82ba7766-35f9-40d8-bb48-37bc436fb6c1,dd6bdbbf-b06d-41e5-b62b-d9662cf9284a
tch_20200602-123628_179,class_250124_tch_20200602-123628_179,class_20200602-123628_179,YMpP-mc3M,919c8a07-6ac6-4bb8-9ffd-ed5bf7129d81,fe4f4a18-b2e5-4155-8f4b-2d68d1d8f71c,a812ec5d-df5f-4252-b8c8-9a3c89aa02ff,189da7d4-aaba-4cf4-be13-4e10e0978c28,690a4a76-c645-46f3-8203-fcbe37a54a8b
tch_20200602-123628_181,class_250124_tch_20200602-123628_181,class_20200602-123628_181,3672-3A9n,2f2ae432-a04e-43c3-b148-a2247b9a827a,e4142dcd-55b9-4cb0-9b38-47f8449d8639,64c9846c-1c0e-461e-a0aa-737d0b74e700,39e75f3e-7780-460f-93d2-95a05b2e097e,5a60757f-cb6d-4d4e-9378-49571bc121b0
tch_20200602-123628_180,class_250124_tch_20200602-123628_180,class_20200602-123628_180,P9CW-LPwm,45745e1c-c56c-4d69-8926-696f3eaa5109,0c9d2bd3-102e-4608-8a8f-df81dfd1e609,e7c7627e-a64b-442e-8ea9-a2329932f44e,a0574048-dee8-47e2-ae6b-ec15f967fc5d,19c6037e-ff28-4c9a-ad86-167bcc26bafc
tch_20200602-123628_182,class_250124_tch_20200602-123628_182,class_20200602-123628_182,UHKW-2A9N,b9ed2596-6fa2-4ab2-b0af-f6745f72c5f4,0cd320e2-7da1-4367-b792-011ba7b34659,04b3461f-1ebd-4e1c-9dd8-0552dbc82544,4b2ced87-8399-42a2-a538-4a087a2b9be3,436e7a98-10a8-4414-8bab-fdcee8707550
tch_20200602-123628_183,class_250124_tch_20200602-123628_183,class_20200602-123628_183,7Dkt-DY7a,c48efb34-ddf2-4dec-98ad-fb52912f105f,43041e86-e154-4970-b3e9-0d26433c7675,21219485-8d44-45d0-92fb-eebc08802ef3,6940e919-0baf-4270-b4ac-f6e33973e140,2fba4aff-1545-4e52-bdeb-d7331fea7173
tch_20200602-123628_185,class_250124_tch_20200602-123628_185,class_20200602-123628_185,et8K-482h,b9bff062-6e76-4a5b-ace1-e23d5c9274d9,bbbfc301-b072-4379-8107-c34f30abeded,984976cd-c1b1-4864-b59f-a1a415db0949,0ce559a4-5d07-4afa-81b1-5a8e06735385,d59ae090-9358-43bc-9ed9-2ff1e10b6435
tch_20200602-123628_184,class_250124_tch_20200602-123628_184,class_20200602-123628_184,AsQj-Rz9V,a073609a-cafe-41c2-9ad1-2fc72341da79,f8ca8762-82a7-4010-8140-5138753a6285,91b5b021-3044-4998-bcdb-684c3cacf58f,2c9f9d75-33bc-418e-ac65-f746c9af1772,8e242265-3502-44cf-a65f-538ee5547743
tch_20200602-123628_186,class_250124_tch_20200602-123628_186,class_20200602-123628_186,7Upz-e238,bb5b69f2-3e44-4077-b2aa-e101d9dc5c78,7896a214-07c8-47e8-86fc-fbc1b4007c6d,cb8b1023-f5dd-48a2-9cc6-b85ccba82272,72440112-e063-452d-b4ea-bff2a8f97ea1,9768b592-f2d1-4f8d-adb1-ec4d20e00d46
tch_20200602-123628_187,class_250124_tch_20200602-123628_187,class_20200602-123628_187,xJR3-A47B,d485eeaa-6009-4a1e-b44d-746e6132c0c7,ca1a0761-a8fe-4933-a1f6-12db1fedff56,79d7d35f-7510-4168-aafa-31b30b652e58,f290b1ff-1045-42ba-8b43-8fa08d8f5898,c446eee4-d02b-4653-9816-ba5dede9950c
tch_20200602-123628_188,class_250124_tch_20200602-123628_188,class_20200602-123628_188,eDv7-z2UM,34c7abae-4b96-49f7-9169-42bbea63cf3d,e218c581-ae92-481c-b05f-58174d7adfff,95bdecae-3d68-43c6-834f-cea9360ebc5a,d09a2643-f7e5-4f4b-9c52-46fadaf72677,c6258d8b-5b02-4c3c-a485-6720edf6d02a
tch_20200602-123628_191,class_250124_tch_20200602-123628_191,class_20200602-123628_191,q27r-2uWL,5c77f141-105f-43a6-9125-5183e13c59e4,2070fbcb-efe4-45a4-9ea1-005f6fe24b78,1184cc7e-fc6a-4db2-b4b1-59da06db3b76,41e3fe78-20c5-41c0-b270-1f8df84f73af,38b1bcf6-4293-4068-bd74-7debfc3fec70
tch_20200602-123628_190,class_250124_tch_20200602-123628_190,class_20200602-123628_190,Mnxi-uDbX,6594f1bd-84b4-4f1c-8373-628b5b11bed9,ede64b18-2fbd-42d5-90a0-113af4df2d53,a9f97f9a-72ba-4c30-bf01-03e8fc486243,974583c7-c006-4062-9a01-a6803f162b35,a57a867c-10ad-439e-a9f7-2d6bac95760d
tch_20200602-123628_189,class_250124_tch_20200602-123628_189,class_20200602-123628_189,Q47s-wt4Y,df5d9cf3-1f87-4dde-b348-e357fc608c92,1bfb97f2-ab05-49d8-b362-4b24379ea8c0,312be871-67e6-4bf5-ae6b-5943417a6cbe,9b09badb-731c-4fc1-82be-348ebf3f0e9e,5d774e03-a7b3-4b4d-bc61-431741ee22a8
tch_20200602-123628_193,class_250124_tch_20200602-123628_193,class_20200602-123628_193,JVRz-9327,ad03f413-d1ab-4327-a273-ae9baa8afb17,5a5742a5-e701-4d23-84aa-17d5d3102902,5ecad27a-0e43-4d28-a1cd-262b46e2b14b,661f7d87-1b97-4de5-a4a6-a02f6db5e27d,7068b7b9-75b6-4ea1-9b35-d7a0e0bae13b
tch_20200602-123628_192,class_250124_tch_20200602-123628_192,class_20200602-123628_192,2RXQ-37nP,f05e3aaf-2891-4b17-b24a-2d98cdbce506,e4399645-acc2-437a-89bc-6cef270cd3cd,4d2ee615-e8cb-4ba7-82c7-30b9d95b1383,46cde2d3-65ae-4385-bb35-f86a82dffb71,5959780d-5239-4a50-850f-e99137e40352
tch_20200602-123628_194,class_250124_tch_20200602-123628_194,class_20200602-123628_194,2KG4-VrZQ,d3899aae-7abc-4690-b356-5b94c731423f,d32a8fbb-d3a2-4340-b133-51ee52ef9034,c94a3c69-1b9e-4b8a-9638-ca108c7641b1,3bc2a4e5-3557-4c45-b144-1673a7216de2,8f52a40f-d6fb-4cf6-9323-fb406a24095a
tch_20200602-123628_195,class_250124_tch_20200602-123628_195,class_20200602-123628_195,iR72-yGb8,68a3bb7e-1fe0-4eab-8553-3414044ef506,543b1338-3c60-40d1-b3c7-c7fe7a64315f,ddfcab1a-3fe2-46c1-a5da-ff363de1e08c,8b850e0f-ea60-4c68-a697-273adb8d3bb8,793c7c46-0220-4371-a30a-8821fde01442
tch_20200602-123628_196,class_250124_tch_20200602-123628_196,class_20200602-123628_196,QZ4d-7kiP,796dde0d-66a3-4753-8dcd-cab8e97a5a4c,b58b3f0f-2f18-4bf7-8a90-da04416655e0,8fc586c5-2370-4d21-854a-3544bc191112,6d11d0b2-787e-48b0-ade0-beaee8b9f491,0d02f22e-3be0-4b0e-b6d0-adbba058fe09
tch_20200602-123628_197,class_250124_tch_20200602-123628_197,class_20200602-123628_197,8VzF-2vtR,89617f46-7ceb-4525-b36a-52713a5d6129,91ddb05a-b22a-4661-bc62-3deabd6c1b44,850faa60-64a1-4012-9941-3ec7ed329606,67167bf8-f982-40e3-bd21-0c4d12745f6b,5d86f3f2-8d9c-4ebd-9192-01ec23ec7000
tch_20200602-123628_198,class_250124_tch_20200602-123628_198,class_20200602-123628_198,R96e-2iUH,ef6cd73d-3518-43ad-b0ef-7f3649336a89,1ae4b170-55e4-479f-8bb3-68fae54b929c,54444d0f-4da6-4e28-b396-ade91a860395,41011fa7-2ccb-439d-8619-e949c9a819f3,fcaa2095-f047-4797-acb2-752f51dd0b7b
tch_20200602-123628_200,class_250124_tch_20200602-123628_200,class_20200602-123628_200,UFB6-28pq,e89fc00c-362f-4bf3-8cb5-a58f5dee0b5a,82d82aeb-6158-4b17-b6e7-7bfa7f6eacd5,8ac1dee6-009b-4f1e-a0bd-c18ab0396d89,d0d16038-1fe6-42fd-860b-707459540b6f,c17a0aac-6fc9-410f-b25c-c1d1e390972a
tch_20200602-123628_199,class_250124_tch_20200602-123628_199,class_20200602-123628_199,64vy-97e4,3a37faa5-219e-43a1-a774-4127c3d6244d,43b82188-5572-43ce-b680-e190f0a9f9c1,174693b9-0811-431b-bfdd-1a3c8fa83582,6f0d769d-02d4-4de7-b994-f2b5ab88d84b,ea6f2883-0113-4d60-bd11-be2dfbfad35e
