studentextuserid,firstname,classcode
std_1589258886900_377,200929_22_std_1589258886900_377,fXpk-n6TY
std_1589258888904_378,200929_22_std_1589258888904_378,duL2-Y6fa
std_1589258890909_379,200929_22_std_1589258890909_379,h4rc-Pr7V
std_1589258892915_380,200929_22_std_1589258892915_380,n6dc-DCyU
std_1589258894920_381,200929_22_std_1589258894920_381,R92f-N6kH
std_1589258896926_382,200929_22_std_1589258896926_382,H83p-2tv6
std_1589258898931_383,200929_22_std_1589258898931_383,r8q6-N964
std_1589258900993_384,200929_22_std_1589258900993_384,mf4j-9q6X
std_1589258903004_385,200929_22_std_1589258903004_385,sLQZ-cxXj
std_1589258905010_386,200929_22_std_1589258905010_386,xKnK-Lwd8
std_1589258907021_387,200929_22_std_1589258907021_387,wyMm-w4sb
std_1589258909027_388,200929_22_std_1589258909027_388,da78-9iJ6
std_1589258911058_389,200929_22_std_1589258911058_389,n6xd-qjTp
std_1589258913063_390,200929_22_std_1589258913063_390,GP2u-4aK7
std_1589258915068_391,200929_22_std_1589258915068_391,236p-x4TP
std_1589258917087_392,200929_22_std_1589258917087_392,6KeL-4V7N
std_1589258919093_393,200929_22_std_1589258919093_393,iMtZ-XqdR
std_1589258921112_394,200929_22_std_1589258921112_394,MkTJ-mpMa
std_1589258923133_395,200929_22_std_1589258923133_395,cA4g-H28Q
std_1589258925137_396,200929_22_std_1589258925137_396,QRkj-X47M
std_1589258927143_397,200929_22_std_1589258927143_397,R4rp-Poyo
std_1589258929149_398,200929_22_std_1589258929149_398,3Uuz-7Fui
std_1589258931152_399,200929_22_std_1589258931152_399,NYLp-Y32Z
std_1589258933157_400,200929_22_std_1589258933157_400,xg2U-6kVX
std_1589258935167_401,200929_22_std_1589258935167_401,7hHU-3nC8
std_1589258937183_402,200929_22_std_1589258937183_402,F6RC-duYr
std_1589258939186_403,200929_22_std_1589258939186_403,mj6Q-tx6h
std_1589258941190_404,200929_22_std_1589258941190_404,bTKp-iTVH
std_1589258943196_405,200929_22_std_1589258943196_405,VfDK-278H
std_1589258945201_406,200929_22_std_1589258945201_406,TgZF-93Rf
std_1589258947204_407,200929_22_std_1589258947204_407,hZtJ-H82n
std_1589258949210_408,200929_22_std_1589258949210_408,Kry9-7P4p
std_1589258951215_409,200929_22_std_1589258951215_409,9ny7-sh2N
std_1589258953220_410,200929_22_std_1589258953220_410,hebs-3T6j
std_1589258955225_411,200929_22_std_1589258955225_411,4D3W-6B9Y
std_1589258957230_412,200929_22_std_1589258957230_412,TKv4-WUm7
std_1589258959252_413,200929_22_std_1589258959252_413,86h6-Trwg
std_1589258961261_414,200929_22_std_1589258961261_414,69Bx-9RNc
std_1589259216334_541,200929_22_std_1589259216334_541,u68K-4BYw
std_1589259218339_542,200929_22_std_1589259218339_542,7qBc-xbNQ
std_1589259220343_543,200929_22_std_1589259220343_543,D8BM-qPuj
std_1589259222348_544,200929_22_std_1589259222348_544,87K6-UYx8
std_1589259224353_545,200929_22_std_1589259224353_545,wCqc-4Lo2
std_1589259226357_546,200929_22_std_1589259226357_546,wk9K-BzJa
std_1589259228363_547,200929_22_std_1589259228363_547,2nNQ-3Y3o
std_1589259230367_548,200929_22_std_1589259230367_548,NJrD-4867
std_1589259232372_549,200929_22_std_1589259232372_549,zQN6-h4LA
std_1589259234376_550,200929_22_std_1589259234376_550,VkLN-GJp8
std_1589259236381_551,200929_22_std_1589259236381_551,Hpx7-6HLt
std_1589259238387_552,200929_22_std_1589259238387_552,9KCg-qfGE
std_1589259240391_553,200929_22_std_1589259240391_553,Q38d-8zQG
std_1589259242395_554,200929_22_std_1589259242395_554,X4FU-e42K
std_1589259244401_555,200929_22_std_1589259244401_555,3c3N-MxcN
std_1589259246404_556,200929_22_std_1589259246404_556,J6ru-xavD
std_1589259248410_557,200929_22_std_1589259248410_557,UxM6-VeC4
std_1589259250415_558,200929_22_std_1589259250415_558,Z4DK-d62r
std_1589259252419_559,200929_22_std_1589259252419_559,93U8-38df
std_1589259254423_560,200929_22_std_1589259254423_560,78Hc-W3Z9
std_1589259256428_561,200929_22_std_1589259256428_561,6Ua7-ubhE
std_1589259258434_562,200929_22_std_1589259258434_562,Jdj4-F87b
std_1589259260438_563,200929_22_std_1589259260438_563,2w8i-2y27
std_1589259262442_564,200929_22_std_1589259262442_564,3Zo4-GCrN
std_1589259264447_565,200929_22_std_1589259264447_565,jP9Y-zU4u
std_1589259266452_566,200929_22_std_1589259266452_566,7Bi4-E3Wp
std_1589259268457_567,200929_22_std_1589259268457_567,fBZn-DyP9
std_1589259270461_568,200929_22_std_1589259270461_568,M272-363X
std_1589259272467_569,200929_22_std_1589259272467_569,8HQe-h63n
std_1589259274471_570,200929_22_std_1589259274471_570,BxW4-u4ha
std_1589259276475_571,200929_22_std_1589259276475_571,p9N8-CiVr
std_1589259278481_572,200929_22_std_1589259278481_572,3979-HF6c
std_1589259280485_573,200929_22_std_1589259280485_573,w6hd-9m68
std_1589259282490_574,200929_22_std_1589259282490_574,9b97-zXtJ
std_1589259284495_575,200929_22_std_1589259284495_575,4PDv-w38y
std_1589259286500_576,200929_22_std_1589259286500_576,FG8w-Wsof
std_1589259288505_577,200929_22_std_1589259288505_577,fXpk-n6TY
std_1589259290509_578,200929_22_std_1589259290509_578,duL2-Y6fa
std_1589259292514_579,200929_22_std_1589259292514_579,h4rc-Pr7V
std_1589259294518_580,200929_22_std_1589259294518_580,n6dc-DCyU
std_1589259296523_581,200929_22_std_1589259296523_581,R92f-N6kH
std_1589259298528_582,200929_22_std_1589259298528_582,H83p-2tv6
std_1589259300533_583,200929_22_std_1589259300533_583,r8q6-N964
std_1589259302537_584,200929_22_std_1589259302537_584,mf4j-9q6X
std_1589259304542_585,200929_22_std_1589259304542_585,sLQZ-cxXj
std_1589259306547_586,200929_22_std_1589259306547_586,xKnK-Lwd8
std_1589259308552_587,200929_22_std_1589259308552_587,wyMm-w4sb
std_1589259310558_588,200929_22_std_1589259310558_588,da78-9iJ6
std_1589259312562_589,200929_22_std_1589259312562_589,n6xd-qjTp
std_1589259314566_590,200929_22_std_1589259314566_590,GP2u-4aK7
std_1589259316571_591,200929_22_std_1589259316571_591,236p-x4TP
std_1589259318576_592,200929_22_std_1589259318576_592,6KeL-4V7N
std_1589259320582_593,200929_22_std_1589259320582_593,iMtZ-XqdR
std_1589259322585_594,200929_22_std_1589259322585_594,MkTJ-mpMa
std_1589259324590_595,200929_22_std_1589259324590_595,cA4g-H28Q
std_1589259326595_596,200929_22_std_1589259326595_596,QRkj-X47M
std_1589259328601_597,200929_22_std_1589259328601_597,R4rp-Poyo
std_1589259330605_598,200929_22_std_1589259330605_598,3Uuz-7Fui
std_1589259332648_599,200929_22_std_1589259332648_599,NYLp-Y32Z
std_1589259334658_600,200929_22_std_1589259334658_600,xg2U-6kVX
std_1590416717948_584,200929_22_std_1590416717948_584,tiL3-k3iE
std_1590416719760_585,200929_22_std_1590416719760_585,MFYr-tQXB
std_1590416721570_586,200929_22_std_1590416721570_586,7Lm2-3eox
std_1590416723381_587,200929_22_std_1590416723381_587,TeBv-qYGk
std_1590416725191_588,200929_22_std_1590416725191_588,hg7U-2Y2K
std_1590416727002_589,200929_22_std_1590416727002_589,yvdZ-2MDK
std_1590416728814_590,200929_22_std_1590416728814_590,cLiU-973N
std_1590416730623_591,200929_22_std_1590416730623_591,PZcB-wB76
std_1590416732435_592,200929_22_std_1590416732435_592,8G7z-4Xdy
std_1590416734245_593,200929_22_std_1590416734245_593,2e8w-Kv2K
std_1590416736056_594,200929_22_std_1590416736056_594,a638-XUc3
std_1590416737867_595,200929_22_std_1590416737867_595,iQ4B-dKdM
std_1590416739679_596,200929_22_std_1590416739679_596,d7DL-aRoE
std_1590416741489_597,200929_22_std_1590416741489_597,c623-23WE
std_1590416743299_598,200929_22_std_1590416743299_598,R9KW-id3i
std_1590416745110_599,200929_22_std_1590416745110_599,3Pvu-is6d
std_1590416746921_600,200929_22_std_1590416746921_600,97wb-D34b
std_1590416748734_601,200929_22_std_1590416748734_601,CZ7x-J6TB
std_1590416750543_602,200929_22_std_1590416750543_602,aTE6-4nuB
std_1590416752354_603,200929_22_std_1590416752354_603,9NhU-GVRK
std_1590416754165_604,200929_22_std_1590416754165_604,R48E-juH2
std_1590416755976_605,200929_22_std_1590416755976_605,Dk9F-2b4t
std_1590416757786_606,200929_22_std_1590416757786_606,2QRo-KEgv
std_1590416759596_607,200929_22_std_1590416759596_607,3Zz3-cw63
std_1590416761408_608,200929_22_std_1590416761408_608,U7iW-v2L8
std_1590416763218_609,200929_22_std_1590416763218_609,YEsW-et47
std_1590416765029_610,200929_22_std_1590416765029_610,EYwU-46xN
std_1590416766839_611,200929_22_std_1590416766839_611,b7QN-4ND4
std_1590416768650_612,200929_22_std_1590416768650_612,37mu-tehN
std_1590416770461_613,200929_22_std_1590416770461_613,Q3s9-7Yde
std_1590416772273_614,200929_22_std_1590416772273_614,39Ng-XYR8
std_1590416774082_615,200929_22_std_1590416774082_615,3Y8J-3t6V
std_1590416775894_616,200929_22_std_1590416775894_616,btb6-qP2T
std_1590416777705_617,200929_22_std_1590416777705_617,64tu-4oa3
std_1590416779516_618,200929_22_std_1590416779516_618,Wcnw-QP84
std_1590416781325_619,200929_22_std_1590416781325_619,is8D-A9Lb
std_1590416783136_620,200929_22_std_1590416783136_620,GZT4-2R24
std_1590416784947_621,200929_22_std_1590416784947_621,q2mQ-4mt9
std_1590416786759_622,200929_22_std_1590416786759_622,aNLo-qgdH
std_1590416788569_623,200929_22_std_1590416788569_623,9bfF-PnTA
std_1590416790379_624,200929_22_std_1590416790379_624,HXRq-26N6
std_1590416792191_625,200929_22_std_1590416792191_625,7n7k-2XLM
std_1590416794000_626,200929_22_std_1590416794000_626,fbzW-YU8Z
std_1590416795811_627,200929_22_std_1590416795811_627,vhEw-NDzB
std_1590416797623_628,200929_22_std_1590416797623_628,RAHo-ZLWL
std_1590416799433_629,200929_22_std_1590416799433_629,Yqyh-49UT
std_1590416801243_630,200929_22_std_1590416801243_630,ugVX-FMQ4
std_1590416803054_631,200929_22_std_1590416803054_631,i93g-q4Y7
std_1590416804865_632,200929_22_std_1590416804865_632,yVcB-7yGk
std_1590416806675_633,200929_22_std_1590416806675_633,8c3p-G2eb
std_1590416808486_634,200929_22_std_1590416808486_634,uDXp-jJ4H
std_1590416810296_635,200929_22_std_1590416810296_635,9MsV-wsDa
std_1590416812106_636,200929_22_std_1590416812106_636,wgVA-cu63
std_1590416813918_637,200929_22_std_1590416813918_637,w383-6pdh
std_1590416815728_638,200929_22_std_1590416815728_638,YR7g-j4ej
std_1590416817539_639,200929_22_std_1590416817539_639,EF2a-93Kr
std_1590416819350_640,200929_22_std_1590416819350_640,XjK9-EP9W
std_1590416821160_641,200929_22_std_1590416821160_641,v4y3-9DFe
std_1590416822971_642,200929_22_std_1590416822971_642,464c-Phd7
std_1590416824783_643,200929_22_std_1590416824783_643,QJZB-U8Kc
